,topic,value,topic_name,header_id,header_eintrag
23,1.0,0.1223105821881473,Buildings,C1_facs_16_region_1699464434661_386,Adler (Goldener) auf der Wieden.
24,0.0,0.06918797163764041,Courtly matters,C1_facs_17_region_1700257346478_714,Adler (Der) im Stadtwapen.
25,6.0,0.07315925429129178,Entertainment?,C1_facs_18_region_1700257587215_795,Adler (Josephinischer)
26,9.0,0.0775885212039709,Paintigs (Art),C1_facs_18_region_1700257646198_810,Adler (Künstlicher)
27,6.0,0.05446658522003512,Entertainment?,C1_facs_19_region_1700257787769_852,Adlerorden (Der).
28,6.0,0.06628617764826351,Entertainment?,C1_facs_19_region_1700257789922_855,Adler (Der schwarze).
29,6.0,0.10553041258179668,Entertainment?,C1_facs_20_region_1700258069305_931,"Adlerthor und Adlerthurm der
Stephanskirche."
30,0.0,0.0367484106386105,Courtly matters,C1_facs_22_tr_1700316568,Adolphus=Ring (Der).
31,6.0,0.13015925582228885,Entertainment?,C1_facs_22_tr_1700316562,"Advokatenprobe
(Die)"
32,3.0,0.13868699686638652,Culture / Theater?,C1_facs_23_tr_1700316564,Aghptisches Museum.
33,0.0,0.05021619378816315,Courtly matters,C1_facs_24_tr_1700431023,A.Bl. I. D. W.
34,0.0,0.08332747260673186,Courtly matters,C1_facs_25_tr_1700316455,Agnes von Osterreich.
35,5.0,0.11530574352408868,Suburbia,C1_facs_25_tr_1700316461,Alanova.
36,9.0,0.09209435893802558,Paintigs (Art),C1_facs_26_tr_1700316510,Albertinische Wafferleitung.
37,6.0,0.10780359063233125,Entertainment?,C1_facs_26_tr_1700316507,Albertus Magnus.
38,6.0,0.07627274531046832,Entertainment?,C1_facs_27_tr_1700316474,Albrecht I.
39,6.0,0.09761736681421228,Entertainment?,C1_facs_28_tr_1700316455,Alchemie.
40,5.0,0.17234233829018417,Suburbia,C1_facs_29_tr_1700316530,Alland.
41,4.0,0.08888891504022327,Religion,C1_facs_30_tr_1700316549,"Allerheiligen=Capelle (Traut=
son sche)."
42,5.0,0.020813304086970828,Suburbia,C1_facs_30_tr_1700316548,Aller Practie Grosmutter.
43,6.0,0.0850874093352985,Entertainment?,C1_facs_31_tr_1700316483,Allerseelentag.
44,1.0,0.12473081363909408,Buildings,C1_facs_31_tr_1700316485,Allgerin (Die).
45,6.0,0.08745566511306493,Entertainment?,C1_facs_32_tr_1700316537,Almosenstein (Der)
46,6.0,0.15383920913838056,Entertainment?,C1_facs_32_tr_1700316536,"(Alraunen).
Alräunchen"
47,6.0,0.12930812767997027,Entertainment?,C1_facs_34_tr_1700316592,Alserbach.
48,8.0,0.13271480225785467,Suburbia,C1_facs_36_tr_1700316546,Alservorstadt.
49,4.0,0.06760613616598173,Religion,C1_facs_38_tr_1700316495,Altäve (Privilegirte).
50,9.0,0.3154083260623151,Paintigs (Art),C1_facs_39_tr_1700322732,"Altargemälde des Thomas von
Mutina."
51,6.0,0.05394280201689898,Entertainment?,C1_facs_39_tr_1700322733,Altars=Dukaten (Die).
52,1.0,0.26809159158622753,Buildings,C1_facs_40_tr_1700322718,Alte Häuser der inneren Stadt.
53,1.0,0.16649366840954571,Buildings,C1_facs_42_tr_1700322521,Alte Mehlgrube.
54,5.0,0.11320133032532655,Suburbia,C1_facs_43_tr_1700322644,Altenburg.
55,4.0,0.09869668833937324,Religion,C1_facs_44_tr_1700322577,Altenburgerhof.
56,1.0,0.06703077814756908,Buildings,C1_facs_45_tr_1700430445,Alter Fleischmarkt.
57,9.0,0.04967521684834789,Paintigs (Art),C1_facs_46_tr_1700322553,Alterthümer (Römische).
58,6.0,0.055414068310329356,Entertainment?,C1_facs_47_tr_1700322462,"Altes Frauenbild bei St.
Stephan."
59,3.0,0.042766461138411704,Culture / Theater?,C1_facs_47_tr_1700322458,Altes Aniversitäts=Haus (749)
60,8.0,0.13823459021134823,Suburbia,C1_facs_47_tr_1700322457,Althangrund.
61,5.0,0.11215544197427244,Suburbia,C1_facs_48_tr_1700322787,Altmannsdorf.
62,0.0,0.04995449685980384,Courtly matters,C1_facs_49_tr_1700383948,Alumnat (Das
63,6.0,0.12522303249967665,Entertainment?,C1_facs_49_tr_1700383949,Alvarez (Die Grafen)
64,2.0,0.08888041414825298,Culture,C1_facs_50_tr_1701613298,Alxinger (Johann Bapt. Ritter v.)
65,1.0,0.11123911219581445,Buildings,C1_facs_51_tr_1700383900,Amalienhof.
66,4.0,0.11597955091527039,Religion,C1_facs_52_tr_1700383888,Amalienstift.
67,9.0,0.057340356300565144,Paintigs (Art),C1_facs_53_tr_1700384032,"Amazonenkampf (Der
3"
68,3.0,0.15361782952499903,Culture / Theater?,C1_facs_53_tr_1700384031,Ambraser=Sammlung.
69,3.0,0.09350234402569306,Culture / Theater?,C1_facs_59_tr_1700383864,Ammen=Anstalt.
70,6.0,0.11432680778854849,Entertainment?,C1_facs_59_tr_1700383865,Amphibolische Zeitschrift.
71,6.0,0.08520627203173683,Entertainment?,C1_facs_60_tr_1700383914,Amphion (Der Wiener=
72,6.0,0.0920866849931608,Entertainment?,C1_facs_60_tr_1700383919,Amtshaus.
73,3.0,0.21732257536960944,Culture / Theater?,C1_facs_62_tr_1700383929,"Anatomisches Museum der
Universität."
74,3.0,0.17556105805672834,Culture / Theater?,C1_facs_62_tr_1700383931,"Anatomisch=pathol. Museum
im Josephinum."
75,4.0,0.10946737969513796,Religion,C1_facs_62_tr_1700383927,Andreaskirche (Die) zu Hütteldorf.
76,6.0,0.180765475593032,Entertainment?,C1_facs_64_tr_1700383879,"Anekdoten= und Reuigkeiten=
fresser."
77,9.0,0.22640431766729832,Paintigs (Art),C1_facs_64_tr_1700383878,Augelo's (Michael) Traum.
78,5.0,0.08788928191149878,Suburbia,C1_facs_65_tr_1700383847,"Angenagelte Gerippe zu
Würnitz (Das)"
79,4.0,0.07946347995252837,Religion,C1_facs_65_tr_1700383843,Augst (Die) bei St. Stephan.
80,8.0,0.04009726564143877,Suburbia,C1_facs_65_tr_1700383844,Ankündigungs=Anstalt.
81,1.0,0.18941541057740194,Buildings,C1_facs_66_tr_1700383968,Annagasse.
82,4.0,0.1521016790828351,Religion,C1_facs_66_tr_1700383969,Annagebüude und Kirche.
83,5.0,0.1777182236498249,Suburbia,C1_facs_67_tr_1700384075,Anninger.
84,2.0,0.16392430918479486,Culture,C1_facs_68_tr_1700384044,Auschütz (Heinrich)
85,6.0,0.13286074423490407,Entertainment?,C1_facs_68_tr_1700384041,Anstoßen (Das) beim Trinken.
86,3.0,0.11891629992670807,Culture / Theater?,C1_facs_69_tr_1700383960,Antiquitäten=Sammlungen.
87,6.0,0.09246669735326504,Entertainment?,C1_facs_70_tr_1700383939,Antonsgrokte (Die)
88,6.0,0.06679170150029377,Entertainment?,C1_facs_70_tr_1700383940,Anubis zu Schalaburg.
89,4.0,0.07385800108242124,Religion,C1_facs_71_tr_1700431455,Anzbacher Fackeldocht (Der).
90,0.0,0.12660657881335427,Courtly matters,C1_facs_71_tr_1700431462,"Apaffi's Säbel und Streitkolbe
in der k. k. Schatzkammer."
91,0.0,0.057613178281510406,Courtly matters,C1_facs_73_tr_1700429989,Apfelkrenz.
92,6.0,0.045072059289610784,Entertainment?,C1_facs_73_tr_1700429991,Apollo=Saal.
93,8.0,0.17034658743873707,Suburbia,C1_facs_74_tr_1700432242,Apotheken.
94,8.0,0.07513875031984614,Suburbia,C1_facs_74_tr_1700432248,"Arbeits= und Besserungs=
Anstalt."
95,8.0,0.08105193662435668,Suburbia,C1_facs_75_tr_1700432234,Arbeits= und Strafhaus (Erstes)
96,1.0,0.06875960107971654,Buildings,C1_facs_76_tr_1700432418,Archive.
97,3.0,0.11179279156705828,Culture / Theater?,C1_facs_76_tr_1700432421,und Staats=
98,3.0,0.1717712760425107,Culture / Theater?,C1_facs_77_tr_1700432291,Auchiv (K. K. Kriegs=
99,3.0,0.0671423127410068,Culture / Theater?,C1_facs_78_tr_1700431274,Arcieren=Leibgarde.
100,6.0,0.11904291588125156,Entertainment?,C1_facs_79_tr_1700431236,Arist (Der Wiener=)
101,3.0,0.07031719129862862,Culture / Theater?,C1_facs_79_tr_1700431237,Armenhaus=Münze.
102,6.0,0.07140161183651307,Entertainment?,C1_facs_79_tr_1700431241,Armen=Pflege.
103,6.0,0.047239559679749896,Entertainment?,C1_facs_81_tr_1700432616,"Armenseellen=Hilfsversamm=
lung."
104,6.0,0.1114132691817389,Entertainment?,C1_facs_81_tr_1700432613,Armensünder=Gäßchen (Das
105,6.0,0.01767716623061806,Entertainment?,C1_facs_82_tr_1700322430,Armuth (Lustschloß der)
106,2.0,0.18771970744119748,Culture,C1_facs_82_tr_1700322434,Aurigoni (Anton
107,1.0,0.09169875248206187,Buildings,C1_facs_82_tr_1700322438,"Aufenal (das
obere und untere
und der Arse=
nal=Thurm."
108,2.0,0.14868743709872112,Culture,C1_facs_83_tr_1700430889,Ar do (Comedia dollI).
109,6.0,0.06883100233703136,Entertainment?,C1_facs_84_tr_1700431136,Artesische Brunnen.
110,9.0,0.08991537379115017,Paintigs (Art),C1_facs_85_tr_1700431263,"Arthaber's (Rudolph Edlen von)
Gemäldesammlung."
111,3.0,0.07216242321414224,Culture / Theater?,C1_facs_86_tr_1700429459,Artillerie=Caferne (am Rennwege).
112,7.0,0.1253543773517115,Military? Bastions?,C1_facs_87_tr_1700431093,Artillerie=Feld=Zeugamt.
113,7.0,0.12522146746905596,Military? Bastions?,C1_facs_87_tr_1700431095,"Artillerie= und Schützen=Corps
(Bürgerliches)."
114,7.0,0.05346848523184545,Military? Bastions?,C1_facs_87_tr_1700431086,Artillerie=Abungen
115,8.0,0.08653030778433594,Suburbia,C1_facs_88_tr_1700430190,Artischocke.
116,9.0,0.28434369458062403,Paintigs (Art),C1_facs_89_tr_1700429392,Auzt (Der) mit dem Uringlase.
117,6.0,0.09637422741264622,Entertainment?,C1_facs_89_tr_1700429395,Arzte.
118,3.0,0.0717972344138114,Culture / Theater?,C1_facs_90_tr_1700431486,Arzte=Gesellschaft.
119,6.0,0.08099131146868015,Entertainment?,C1_facs_90_tr_1700431488,Aspern.
120,7.0,0.06085000281545522,Military? Bastions?,C1_facs_91_tr_1700431202,Aspremont.
121,3.0,0.03207721271781645,Culture / Theater?,C1_facs_92_tr_1700431197,"SG
Ansl in Trieft."
122,6.0,0.19149793017596548,Entertainment?,C1_facs_92_tr_1700431198,Association der Damen.
123,3.0,0.07373774857355542,Culture / Theater?,C1_facs_94_tr_1700430087,"Astronomisches und physicali=
sches Cabinet (K. K.)."
124,6.0,0.0711893892805088,Entertainment?,C1_facs_95_tr_1700430658,Asylrecht (Das)
125,6.0,0.08120485678262096,Entertainment?,C1_facs_95_tr_1700430659,Athlet in der Burg (Der fürstl.)
126,5.0,0.13922107714874848,Suburbia,C1_facs_96_tr_1700430648,Atzgerstorf.
127,1.0,0.07621978044304523,Buildings,C1_facs_97_tr_1700430679,Auerspergischer Pallast.
128,5.0,0.046356761017072756,Suburbia,C1_facs_98_tr_1700430568,Auferstehungs=Capelle
129,6.0,0.05552917829261389,Entertainment?,C1_facs_98_tr_1700430567,PaX MVnDI resVreOtIo OhrIstI.
130,7.0,0.08357724828851136,Military? Bastions?,C1_facs_98_tr_1700430563,Aufgebot in Wien.
131,6.0,0.148442636818208,Entertainment?,C1_facs_99_tr_1700431959,Aufnehmer (Der)
132,6.0,0.05239380113428735,Entertainment?,C1_facs_100_tr_1700431619,Aufputz der Kirchen.
133,8.0,0.08273657368081551,Suburbia,C1_facs_100_tr_1700431616,Aufspritzen.
134,6.0,0.08548276746091474,Entertainment?,C1_facs_100_tr_1700431621,"Aufstand der deutschen Kriegs=
knechte (1528)"
135,6.0,0.12845916078710212,Entertainment?,C1_facs_101_tr_1700432161,Aufstand d. Schuhknechte (1728).
136,6.0,0.0864284278340646,Entertainment?,C1_facs_104_tr_1700430014,Aufstand der Studenten (TASI).
137,5.0,0.10867413018330842,Suburbia,C1_facs_104_tr_1700430018,Augarten.
138,6.0,0.06712628498230497,Entertainment?,C1_facs_107_tr_1700431303,Augen=Ausbrechen.
139,3.0,0.16001406457530667,Culture / Theater?,C1_facs_107_tr_1700431305,Augenkranken=Jnstitut.
140,0.0,0.04167708867288252,Courtly matters,C1_facs_108_tr_1700432653,Augsburgertanz (Der).
141,4.0,0.03860034222959977,Religion,C1_facs_108_tr_1700432650,Augsburgische Confession
142,6.0,0.09480726407765054,Entertainment?,C1_facs_108_tr_1700432654,Augustin der Sackpfeiffer.
143,7.0,0.27642258895297905,Military? Bastions?,C1_facs_109_tr_1700430310,Augustinerbastei.
144,9.0,0.05616845153391194,Paintigs (Art),C1_facs_110_tr_1700429690,Augustinergang.
145,4.0,0.18241808974582924,Religion,C1_facs_111_tr_1700430785,Augustinerkirche und Kloster
146,4.0,0.21687649323762623,Religion,C1_facs_113_tr_1700431583,"Augustinerkirche und Kloster
in der Stadt."
147,8.0,0.05847808026066446,Suburbia,C1_facs_116_tr_1700430692,Ausräucherung der Häuser.
148,6.0,0.07682822464365303,Entertainment?,C1_facs_117_tr_1700430217,Ausruf (Offentlicher)
149,6.0,0.028030848585854563,Entertainment?,C1_facs_117_tr_1700430214,"Außereuropäische Menschen=
racen."
150,4.0,0.1271595261699346,Religion,C1_facs_118_tr_1700431576,Antograph der h. Theresia.
151,3.0,0.1548126777945897,Culture / Theater?,C1_facs_118_tr_1700431577,Antographen=Sammlungen.
152,1.0,0.12354724532702396,Buildings,C1_facs_119_tr_1700432609,Atwinkel.
153,2.0,0.07406352626669137,Culture,C1_facs_119_tr_1700432604,Ahrenhoff (Cornel. Herrm. von)
154,6.0,0.057915471233016845,Entertainment?,C1_facs_120_tr_1701613247,B.
155,3.0,0.06431175985036258,Culture / Theater?,C1_facs_120_tr_1701613244,Bäckenhäusel.
156,6.0,0.08527839803414235,Entertainment?,C1_facs_121_region_1700260881722_1257,"Bäcker=Auflauf (Der, gewöhnlich
Bäcker=Rummel genannt)"
157,7.0,0.08420103115532217,Military? Bastions?,C1_facs_121_region_1700261005294_1293,Bäcker=Aufzug.
158,6.0,0.09766937753719805,Entertainment?,C1_facs_123_region_1700261645890_1439,Bäckerbursche (Der)
159,6.0,0.07406051695011887,Entertainment?,C1_facs_123_region_1700261678925_1451,Bäckerkreuz.
160,8.0,0.050056599230339956,Suburbia,C1_facs_124_region_1700261824321_1481,Bückerkreuz (Hof=) in Mariahilf.
161,6.0,0.11770008821780707,Entertainment?,C1_facs_124_region_1700261827545_1484,Bäckerschupfen (Das
162,5.0,0.2097628375017765,Suburbia,C1_facs_125_region_1700262591140_1592,Baden
163,8.0,0.10501910870919164,Suburbia,C1_facs_133_tr_1700322755,Bäder.
164,9.0,0.1477583942066787,Paintigs (Art),C1_facs_134_tr_1700322766,Bahnhöfe.
165,6.0,0.08733564649319205,Entertainment?,C1_facs_136_tr_1700322475,Bahrausleiher=Amt.
166,6.0,0.04492489710626075,Entertainment?,C1_facs_136_tr_1700322477,"Baierische Dampfnndeln
(Die ersten)."
167,1.0,0.1399283705254586,Buildings,C1_facs_137_tr_1700429921,Ballgäßchen (Das
168,2.0,0.12541234800302184,Culture,C1_facs_137_tr_1700429924,Ballhäuser.
169,6.0,0.14579562432868537,Entertainment?,C1_facs_138_tr_1700429643,Bandelzwirn=Männer.
170,1.0,0.1578500382667395,Buildings,C1_facs_139_tr_1700430951,Bankohaus.
171,3.0,0.04186889786851541,Culture / Theater?,C1_facs_140_tr_1700432025,Bankozettel.
172,6.0,0.05887705391804553,Entertainment?,C1_facs_140_tr_1700432024,Bank=Aetien (Osterr.)
173,6.0,0.10335391018764671,Entertainment?,C1_facs_141_tr_1700432367,Bär (Der rebellische).
174,6.0,0.1018110591496031,Entertainment?,C1_facs_141_tr_1700432365,Bär (Schwarzer)
175,3.0,0.06730994634650334,Culture / Theater?,C1_facs_142_tr_1700431010,Baranofskilsches Haus.
176,1.0,0.08329623133497539,Buildings,C1_facs_142_tr_1700431011,Baubara=Stift.
177,6.0,0.1600548449012174,Entertainment?,C1_facs_143_tr_1700430271,Bärenmühle.
178,4.0,0.15528335698582407,Religion,C1_facs_144_tr_1700430119,"Barmherzigen Brüder (Kloster u.
Krankenhaus der) in der Leopoldstadt."
179,0.0,0.03588953398325752,Courtly matters,C1_facs_149_tr_1701613273,Barmherzigen Schweftern (Die).
180,4.0,0.14602468631178017,Religion,C1_facs_150_tr_1700429998,Barnabiten.
181,9.0,0.06338228174244917,Paintigs (Art),C1_facs_150_tr_1700430002,Bartwerte (Die).
182,6.0,0.1364205358015778,Entertainment?,C1_facs_151_tr_1700430874,Basiliskenhaus (Das)
183,6.0,0.0901652613075216,Entertainment?,C1_facs_152_tr_1700429505,"Bassin (Das) im oberen
Belvedere."
184,7.0,0.18147691820888967,Military? Bastions?,C1_facs_153_tr_1700430810,Basteien.
185,1.0,0.16038288940654627,Buildings,C1_facs_155_tr_1700429881,"Bathiany sche (Fürstl. Philipp)
Häuser."
186,7.0,0.12457806281778366,Military? Bastions?,C1_facs_155_tr_1700429875,"Bathianh sches (Graf Joh. Bapt.)
Haus."
187,6.0,0.09826118146778723,Entertainment?,C1_facs_155_tr_1700429877,Batzen haben
188,2.0,0.11077828378219472,Culture,C1_facs_155_tr_1700429876,Bäuerle (Adolf).
189,1.0,0.1310517294701527,Buildings,C1_facs_156_tr_1700429416,Bauernmarkt (Der)
190,2.0,0.12758966100992272,Culture,C1_facs_157_tr_1700429552,Baumann (Die zwei Komiker)
191,2.0,0.1371180457749819,Culture,C1_facs_157_tr_1700429555,"Baumann, der ältere."
192,2.0,0.2524732019736448,Culture,C1_facs_158_tr_1700430761,"Baumann?), der jüngere."
193,5.0,0.11844415552561445,Suburbia,C1_facs_159_tr_1700430252,Baumgarten
194,1.0,0.09535423082510677,Buildings,C1_facs_160_tr_1700430346,Bau=Ordnung.
195,6.0,0.04708911592055322,Entertainment?,C1_facs_160_tr_1700430344,Bavaroise.
196,1.0,0.12289206048370918,Buildings,C1_facs_160_tr_1700430347,Bazar.
197,6.0,0.0453740008803667,Entertainment?,C1_facs_161_tr_1700430985,Becher der bürgl. Lebzelter.
198,1.0,0.07946584373257964,Buildings,C1_facs_161_tr_1700430990,Becher (Silberner)
199,6.0,0.07808529128156143,Entertainment?,C1_facs_162_tr_1700430739,"Beerdigung der Verbrecher
(durch die Todten=Bruderschaft)"
200,8.0,0.059761591256622344,Suburbia,C1_facs_163_tr_1700430506,Beethovengasse (Die
201,7.0,0.2668271215582326,Military? Bastions?,C1_facs_164_tr_1700429592,Befestigung.
202,8.0,0.12071870857075745,Suburbia,C1_facs_165_tr_1700431165,Begräbniß=Ordnung.
203,9.0,0.057507538743698045,Paintigs (Art),C1_facs_166_tr_1700430076,Beheizungsanstalt (Die erste)
204,9.0,0.08119946872408687,Paintigs (Art),C1_facs_166_tr_1700430079,Beinerne König (Der).
205,7.0,0.14311430893547328,Military? Bastions?,C1_facs_167_tr_1700431806,Belagerung der Burg (1468)
206,7.0,0.11857073376516046,Military? Bastions?,C1_facs_168_tr_1700430099,"Belagerung der Burg durch
Maximilian T. (1480)."
207,7.0,0.1365013734796919,Military? Bastions?,C1_facs_168_tr_1700430100,"Belagerung der Stadt durch
Mathias Corvinus (148S)."
208,7.0,0.14585562990158105,Military? Bastions?,C1_facs_169_tr_1700432065,"Velagerung der Stadt durch
die Türken (1529)."
209,7.0,0.170439080997102,Military? Bastions?,C1_facs_170_tr_1700429474,"Belagerung der Stadt durch die
Türken (1888)."
210,1.0,0.08561035251550674,Buildings,C1_facs_173_tr_1700430280,Beschießung der Stadt (1868).
211,6.0,0.09662917514041568,Entertainment?,C1_facs_174_tr_1700432446,Beleuchtung.
212,5.0,0.07717197408732221,Suburbia,C1_facs_175_tr_1700431032,Bellaria (Die)
213,1.0,0.18676996774718016,Buildings,C1_facs_175_tr_1700431036,Bellegardehof.
214,3.0,0.12693526250804818,Culture / Theater?,C1_facs_175_tr_1700431035,Belbedere.
215,6.0,0.10577934863944738,Entertainment?,C1_facs_178_tr_1700430511,Benedikt (Knecht)
216,6.0,0.04110030338303062,Entertainment?,C1_facs_179_tr_1700430849,Benediction (Päpstliche).
217,1.0,0.14175763667533062,Buildings,C1_facs_180_tr_1700430369,Berghof (Der)
218,1.0,0.038566916068743864,Buildings,C1_facs_181_tr_1701613237,Bergel
219,1.0,0.1446882764669846,Buildings,C1_facs_181_tr_1701613229,Bergl=Haus (Das)
220,2.0,0.21938581555954942,Culture,C1_facs_181_tr_1701613235,"Bergopzoomer (Johann und Ka=
tharina)."
221,0.0,0.02903644161649173,Courtly matters,C1_facs_181_tr_1701613231,Berliner Handschuhe (Die).
222,2.0,0.2020287651770417,Culture,C1_facs_182_tr_1700431041,Bernardon.
223,6.0,0.044736255921301454,Entertainment?,C1_facs_183_tr_1700432426,Bertholdo.
224,6.0,0.15895617810467724,Entertainment?,C1_facs_184_tr_1700429363,Bettelwesen (Vorzeitiges).
225,8.0,0.1095690617062518,Suburbia,C1_facs_186_tr_1700430573,"Bettlerstiege (Die) auf der Laim=
grube."
226,7.0,0.072319806507492,Military? Bastions?,C1_facs_188_tr_1700429812,Beutte (Türkische)
227,8.0,0.08051481674399515,Suburbia,C1_facs_188_tr_1700429809,Bevölkerung.
228,8.0,0.08178290760491566,Suburbia,C1_facs_189_tr_1700429547,Biberbastei (Die).
229,7.0,0.20620641725495398,Military? Bastions?,C1_facs_190_tr_1700431426,Biberthurm.
230,3.0,0.06324024805659166,Culture / Theater?,C1_facs_190_tr_1700431422,Bibliotheken.
231,3.0,0.221817333746666,Culture / Theater?,C1_facs_191_tr_1700431335,Bibliothek (Hof=).
232,3.0,0.19138100513628384,Culture / Theater?,C1_facs_194_tr_1700432489,"Bibliothek (Privat=) Sr. Maj.
des Kaisers."
233,5.0,0.17861111731888443,Suburbia,C1_facs_195_tr_1700429865,Biedermannsdorf
234,6.0,0.09336796949586869,Entertainment?,C1_facs_197_tr_1700430599,Bierglocke bei St. Stephan.
235,6.0,0.044090890309210026,Entertainment?,C1_facs_198_tr_1700385655,Bierhalbe.
236,6.0,0.1248996393740899,Entertainment?,C1_facs_198_tr_1700385654,Bierhäufer.
237,5.0,0.08565087220064853,Suburbia,C1_facs_200_tr_1700385731,Bierguelbe.
238,1.0,0.02487629464636975,Buildings,C1_facs_200_tr_1700385725,Biersalon.
239,3.0,0.1544770640170339,Culture / Theater?,C1_facs_201_tr_1700385707,Bildenden Künste (Academie der)
240,9.0,0.2565964923788532,Paintigs (Art),C1_facs_202_tr_1700385693,"Bilder=Cabinet des Erzherz.
Leopold Wilhelm."
241,0.0,0.02428585616912252,Courtly matters,C1_facs_202_tr_1700385687,Bilder=Sammlungen.
242,3.0,0.14105555428036715,Culture / Theater?,C1_facs_202_tr_1700385686,Bilder=Sammlung (K. K.).
243,3.0,0.03569618841774317,Culture / Theater?,C1_facs_207_tr_1700385665,"Bildungs=Anstalt (Höhere) für
Weltpriester."
244,7.0,0.18874490308567415,Military? Bastions?,C1_facs_207_tr_1700385666,"Bildungsstadien der Stadt.
(Von 1159 bis 1844."
245,6.0,0.10030342561605496,Entertainment?,C1_facs_211_tr_1700432177,Billardspiel (Das)
246,6.0,0.08426074358632477,Entertainment?,C1_facs_215_tr_1700430960,Birne (Zur eisernen)
247,5.0,0.1522997091474686,Suburbia,C1_facs_215_tr_1700430965,Bisamberg.
248,0.0,0.18416755446791527,Courtly matters,C1_facs_217_tr_1700431366,Bischöfe von Wien.
249,1.0,0.12885850116617495,Buildings,C1_facs_220_tr_1700429801,Bischofsgasse (Die)
250,7.0,0.08526666245445795,Military? Bastions?,C1_facs_220_tr_1700429802,Bischofshof.
251,6.0,0.059212136363719234,Entertainment?,C1_facs_221_tr_1700430639,Blank (Johann Conrad).
252,6.0,0.1379312542188232,Entertainment?,C1_facs_222_tr_1700430034,Blasi=Buuderschaft (Die).
253,6.0,0.17621737791618802,Entertainment?,C1_facs_223_tr_1700432394,Blast (Herr von).
254,6.0,0.04535098495281261,Entertainment?,C1_facs_223_tr_1700432393,Blaue Farbe (Die)
255,6.0,0.09803784487472088,Entertainment?,C1_facs_224_tr_1700430557,Blauen Flasche (Haus zur)
256,6.0,0.13352352497283557,Entertainment?,C1_facs_225_tr_1700432152,Blaue Montag (Der)
257,3.0,0.1291248641084742,Culture / Theater?,C1_facs_226_tr_1700431115,Blinden=Jnstitute.
258,9.0,0.1956433359691645,Paintigs (Art),C1_facs_227_tr_1700430161,Blumenaltar (Der
259,5.0,0.05684043615065383,Suburbia,C1_facs_227_tr_1700430157,Blumen=Ausstellung.
260,6.0,0.17002125823129913,Entertainment?,C1_facs_228_tr_1700429681,Blutegel=Gur (Die).
261,6.0,0.055216578832069124,Entertainment?,C1_facs_229_tr_1700430999,Blutgäßchen (Das
262,6.0,0.054659761246494486,Entertainment?,C1_facs_229_tr_1700430998,Bockgasse (Die)
263,6.0,0.10525511995891267,Entertainment?,C1_facs_230_tr_1700431773,schwarzen
264,0.0,0.07669654894543587,Courtly matters,C1_facs_231_tr_1700430730,"Bocskails Kronen in der k. k.
Schatzkammer."
265,1.0,0.08275288818121672,Buildings,C1_facs_232_tr_1700432227,Bognergasse.
266,6.0,0.059002599470176116,Entertainment?,C1_facs_233_tr_1700429648,Börfe (K. K. öffentliche)
